Institución,Nombre del establecimiento,UBIGEO,Clasificación,Departamento,Provincia,Distrito,Estado,NORTE,ESTE
GOBIERNO REGIONAL,CENTRAL ESQUEN,211101,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,SAN ROMAN,JULIACA,ACTIVADO,-70.17976686,-15.52175813
GOBIERNO REGIONAL,VISTA FLORIDA,200605,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,SULLANA,MARCAVELICA,ACTIVADO,-80.73812743,-4.87739595
GOBIERNO REGIONAL,NUEVO SAN JOSE,160505,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,REQUENA,MAQUIA,ACTIVADO,-74.67638179,-5.94161739
GOBIERNO REGIONAL,INCA ROCA,160704,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,DATEM DEL MARAÑON,MORONA,ACTIVADO,-77.318525,-3.65316333
MINSA,LABORATORIO DE REFERNCIA EN SALUD PUBLICA,150111,PATOLOGIA CLINICA,LIMA,LIMA,EL AGUSTINO,ACTIVADO,-76.99321,-12.040214
ESSALUD,"CENTRO DE ATENCION PRIMARIA III ""MANUEL MANRRIQUE NEVADO""",140105,POLICLINICOS,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,ACTIVADO,-79.8366956,-6.7597307
PRIVADO,CLINICA ESMEDIC E.I.R.L.,250101,CENTROS MEDICOS ESPECIALIZADOS,UCAYALI,CORONEL PORTILLO,CALLERIA,ACTIVADO,-74.53438274,-8.38180021
GOBIERNO REGIONAL,PUCACCOCHA,90103,PUESTOS DE SALUD O POSTAS DE SALUD,HUANCAVELICA,HUANCAVELICA,ACORIA,ACTIVADO,-74.91100703,-12.68545901
GOBIERNO REGIONAL,SAN JUAN DE CHADIN,60403,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,CHADIN,ACTIVADO,-78.40653,-6.45899
GOBIERNO REGIONAL,ATANCAMA,30106,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,ABANCAY,LAMBRAMA,ACTIVADO,-72.78476,-13.86872833
GOBIERNO REGIONAL,PICOSAYHUAS,30708,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,GRAU,PROGRESO,ACTIVADO,-72.47367126,-13.99600129
GOBIERNO REGIONAL,CHIRIBAMBA,51108,PUESTOS DE SALUD O POSTAS DE SALUD,AYACUCHO,VILCAS HUAMAN,VISCHONGO,ACTIVADO,-74.02705865,-13.56825739
GOBIERNO REGIONAL,SERAFIN FILOMENO,160103,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,MAYNAS,FERNANDO LORES,ACTIVADO,-72.938042,-4.160308
GOBIERNO REGIONAL,TARIBAMBA,30703,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,GRAU,MARISCAL GAMARRA,ACTIVADO,-72.577815,-13.83993833
GOBIERNO REGIONAL,KAUPAN,160702,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,DATEM DEL MARAÑON,CAHUAPANAS,ACTIVADO,-76.98625167,-5.28720167
GOBIERNO REGIONAL,AUCARARCA,220204,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,BELLAVISTA,HUALLAGA,ACTIVADO,-76.56546546,-7.41128667
GOBIERNO REGIONAL,SANTA CATALINA,211101,CENTROS DE SALUD O CENTROS MEDICOS,PUNO,SAN ROMAN,JULIACA,ACTIVADO,-70.14710242,-15.47815406
GOBIERNO REGIONAL,ARMA PATACANCHA,90503,PUESTOS DE SALUD O POSTAS DE SALUD,HUANCAVELICA,CHURCAMPA,CHINCHIHUASI,ACTIVADO,-74.59088833,-12.51226833
GOBIERNO REGIONAL,SANTA FE DE INAMAPUYA,250104,PUESTOS DE SALUD O POSTAS DE SALUD,UCAYALI,CORONEL PORTILLO,MASISEA,ACTIVADO,-74.05440174,-8.73693638
GOBIERNO REGIONAL,REMANSO,160801,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,PUTUMAYO,PUTUMAYO,ACTIVADO,-71.29803,-2.37949
GOBIERNO REGIONAL,SACHARACCAY,50502,CENTROS DE SALUD O CENTROS MEDICOS,AYACUCHO,LA MAR,ANCO,ACTIVADO,-73.849245,-13.08082167
GOBIERNO REGIONAL,PUESTO DE SALUD CAMBIO PUENTE,21801,PUESTOS DE SALUD O POSTAS DE SALUD,ANCASH,SANTA,CHIMBOTE,ACTIVADO,-78.55332,-8.9965
GOBIERNO REGIONAL,P.S LA TORTUGA,200501,CENTROS DE SALUD O CENTROS MEDICOS,PIURA,PAITA,PAITA,ACTIVADO,-81.11954288,-5.27963619
GOBIERNO REGIONAL,P.S SAN LORENZO,200305,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,HUANCABAMBA,LALAQUIZ,ACTIVADO,-79.69729123,-5.16687836
GOBIERNO REGIONAL,SOMATE CENTRO DE SERVICIOS,200602,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,SULLANA,BELLAVISTA,ACTIVADO,-80.51818407,-4.7551111
GOBIERNO REGIONAL,SAN PEDRO KM 47,250102,PUESTOS DE SALUD O POSTAS DE SALUD,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,ACTIVADO,-74.89546561,-8.56234774
GOBIERNO REGIONAL,CARQUIN,150803,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,HUAURA,CALETA DE CARQUIN,ACTIVADO,-77.62739167,-11.09082667
ESSALUD,INSTITUTO PERUANO DE OFTALMOLOGIA,200104,INSTITUTOS DE SALUD ESPECIALIZADOS,PIURA,PIURA,CASTILLA,ACTIVADO,-80.621635,-5.187225
GOBIERNO REGIONAL,ENCUENTRO DE PILARES,200604,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,SULLANA,LANCONES,ACTIVADO,-80.50303633,-4.32392225
ESSALUD,CAP III ALTO SELVA ALEGRE,40102,POLICLINICOS,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,ACTIVADO,-71.5125289,-16.3752447
GOBIERNO REGIONAL,NUEVA GALILEA,160603,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,UCAYALI,PADRE MARQUEZ,ACTIVADO,-75.00733528,-7.69418318
MINSA,ALFA Y OMEGA,150103,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,ATE,ACTIVADO,-76.8537496,-12.014028
MINSA,GUSTAVO LANATTA,150103,CENTROS DE SALUD O CENTROS MEDICOS,LIMA,LIMA,ATE,ACTIVADO,-76.9789165,-12.0694803
GOBIERNO REGIONAL,YAULICACHI,10513,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,LUYA,OCUMAL,ACTIVADO,-78.12733833,-6.304225
GOBIERNO REGIONAL,OCOPILLA,120101,CENTROS DE SALUD O CENTROS MEDICOS,JUNIN,HUANCAYO,HUANCAYO,ACTIVADO,-75.19633596,-12.06992404
GOBIERNO REGIONAL,"REGIONAL DOCENTE MATERNO INFANTIL ""EL CARMEN""",120101,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,JUNIN,HUANCAYO,HUANCAYO,ACTIVADO,-75.214222,-12.070161
MINSA,LA HUAYRONA,150132,CENTROS DE SALUD O CENTROS MEDICOS,LIMA,LIMA,SAN JUAN DE LURIGANCHO,ACTIVADO,-77.0065573,-11.9942159
GOBIERNO REGIONAL,POLTOCCSA,30213,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,ACTIVADO,-73.33412,-13.65255
GOBIERNO REGIONAL,SAN JOSE DE TICCLAS,50109,PUESTOS DE SALUD O POSTAS DE SALUD,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,ACTIVADO,-74.33356309,-13.1322327
GOBIERNO REGIONAL,CENTRO DE SALUD FRANCISCO BOLOGNESI,40103,CENTROS DE SALUD O CENTROS MEDICOS,AREQUIPA,AREQUIPA,CAYMA,ACTIVADO,-71.54222177,-16.35485264
GOBIERNO REGIONAL,CENTRO DE SALUD EL CRUCE - TRIUNFO,40108,CENTROS DE SALUD O CENTROS MEDICOS,AREQUIPA,AREQUIPA,LA JOYA,ACTIVADO,-71.83864805,-16.49559069
GOBIERNO REGIONAL,CARRERA,10306,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,BONGARA,FLORIDA,ACTIVADO,-77.95667883,-5.87043621
GOBIERNO REGIONAL,MAGNA VALLEJO,60101,CENTROS DE SALUD O CENTROS MEDICOS,CAJAMARCA,CAJAMARCA,CAJAMARCA,ACTIVADO,-78.58732,-7.0993
GOBIERNO REGIONAL,TABACONAS,60907,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,SAN IGNACIO,TABACONAS,ACTIVADO,-79.28305954,-5.31636261
GOBIERNO REGIONAL,CHICHUCANCHA,50201,PUESTOS DE SALUD O POSTAS DE SALUD,AYACUCHO,CANGALLO,CANGALLO,ACTIVADO,-74.07806667,-13.56948833
GOBIERNO REGIONAL,DE APOYO JUNIN,120501,HOSPITALES O CLINICAS DE ATENCION GENERAL,JUNIN,JUNIN,JUNIN,ACTIVADO,-75.99831121,-11.15840599
MINSA,SAN BENITO,150106,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,CARABAYLLO,ACTIVADO,-77.0471714,-11.8184648
GOBIERNO REGIONAL,LAGUNA,60605,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CUTERVO,LA RAMADA,ACTIVADO,-78.53659,-6.20559
GOBIERNO REGIONAL,ACOBAMBA,100207,PUESTOS DE SALUD O POSTAS DE SALUD,HUANUCO,AMBO,SAN RAFAEL,ACTIVADO,-75.87985874,-10.26210533
GOBIERNO REGIONAL,CARMEN CAUTIVO,60907,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,SAN IGNACIO,TABACONAS,ACTIVADO,-79.11325867,-5.46006488
GOBIERNO REGIONAL,PROGRESO LARATA,30104,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,ABANCAY,CURAHUASI,ACTIVADO,-72.46319465,-13.68017757
GOBIERNO REGIONAL,AYMAÑA,210305,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,CARABAYA,CORANI,ACTIVADO,-70.66792667,-13.87103333
GOBIERNO REGIONAL,ANGARA ALTO,210708,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,LAMPA,PUCARA,ACTIVADO,-70.47917762,-14.97454152
GOBIERNO REGIONAL,UCHIZA,221005,CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,SAN MARTIN,TOCACHE,UCHIZA,ACTIVADO,-76.46368063,-8.45882794
GOBIERNO REGIONAL,ISHANGA,221001,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,TOCACHE,TOCACHE,ACTIVADO,-76.555995,-8.329175
GOBIERNO REGIONAL,NUEVO BAMBAMARCA,221001,CENTROS DE SALUD O CENTROS MEDICOS,SAN MARTIN,TOCACHE,TOCACHE,ACTIVADO,-76.59216,-8.14197667
GOBIERNO REGIONAL,RAMAL DE ASPUZANA,221002,CENTROS DE SALUD O CENTROS MEDICOS,SAN MARTIN,TOCACHE,NUEVO PROGRESO,ACTIVADO,-76.17724,-8.75355
GOBIERNO REGIONAL,BALSA PROBANA,221001,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,TOCACHE,TOCACHE,ACTIVADO,-76.53729891,-8.13341608
MINSA,LABORATORIO DE REFERENCIA,150120,PATOLOGIA CLINICA,LIMA,LIMA,MAGDALENA DEL MAR,ACTIVADO,-77.06792,-12.088689
GOBIERNO REGIONAL,CEDRO,221003,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,TOCACHE,POLVORA,ACTIVADO,-76.59305484,-8.06037222
GOBIERNO REGIONAL,P.S ÑOMA,200409,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,MORROPON,SANTO DOMINGO,ACTIVADO,-79.83319667,-5.03212
GOBIERNO REGIONAL,BELLAVISTA,200602,CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,PIURA,SULLANA,BELLAVISTA,ACTIVADO,-80.67170624,-4.88467601
GOBIERNO REGIONAL,P.S CULEBREROS,200408,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,MORROPON,SANTA CATALINA DE MOSSA,ACTIVADO,-79.83203,-5.11166833
GOBIERNO REGIONAL,P.S PISCAN,200410,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,MORROPON,YAMANGO,ACTIVADO,-79.80263734,-5.20814721
GOBIERNO REGIONAL,P.S SAN CLEMENTE,200802,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,SECHURA,BELLAVISTA DE LA UNION,ACTIVADO,-80.73996,-5.43265833
GOBIERNO REGIONAL,P.S RINCONADA LLICUAR,200806,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,SECHURA,RINCONADA-LLICUAR,ACTIVADO,-80.76267938,-5.45910045
GOBIERNO REGIONAL,P.S CHUSIS,200801,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,SECHURA,SECHURA,ACTIVADO,-80.81514184,-5.5208047
GOBIERNO REGIONAL,P.S TAJAMAR,200801,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,SECHURA,SECHURA,ACTIVADO,-80.79492,-5.48686
GOBIERNO REGIONAL,C.S SECHURA,200801,CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,PIURA,SECHURA,SECHURA,ACTIVADO,-80.8213624,-5.5605734
GOBIERNO REGIONAL,C.S SAN JOSE,200115,CENTROS DE SALUD O CENTROS MEDICOS,PIURA,PIURA,VEINTISEIS DE OCTUBRE,ACTIVADO,-80.64608,-5.19252667
GOBIERNO REGIONAL,SAN MARCOS,250401,PUESTOS DE SALUD O POSTAS DE SALUD,UCAYALI,PURUS,PURUS,ACTIVADO,-70.87535348,-9.88083346
PRIVADO,CENTRO MEDICO CAYETANO,170101,CENTROS DE SALUD O CENTROS MEDICOS,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,ACTIVADO,-69.18803058,-12.59350023
GOBIERNO REGIONAL,NIEVE NIEVE,150702,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,HUAROCHIRI,ANTIOQUIA,ACTIVADO,-76.67124269,-12.02563613
GOBIERNO REGIONAL,"HOSPITAL DE APOYO DE HUANTA ""DANIEL ALCIDES CARRIÓN""",50401,HOSPITALES O CLINICAS DE ATENCION GENERAL,AYACUCHO,HUANTA,HUANTA,ACTIVADO,-74.25151333,-12.93604333
GOBIERNO REGIONAL,SAN PABLO DE JESUS,60106,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CAJAMARCA,JESUS,ACTIVADO,-78.3257397,-7.36566868
GOBIERNO REGIONAL,MICUYPAMPA,60105,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CAJAMARCA,ENCAÑADA,ACTIVADO,-78.23569703,-7.03021168
GOBIERNO REGIONAL,TARATA,230401,CENTROS DE SALUD O CENTROS MEDICOS,TACNA,TARATA,TARATA,ACTIVADO,-70.03532531,-17.47975146
GOBIERNO REGIONAL,TOTORA OROPESA,30305,CENTROS DE SALUD O CENTROS MEDICOS,APURIMAC,ANTABAMBA,OROPESA,ACTIVADO,-72.55903117,-14.2627842
GOBIERNO REGIONAL,MONTEVIDEO,10115,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,ACTIVADO,-77.8013,-6.618715
GOBIERNO REGIONAL,SOLITARIO,210608,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,HUANCANE,VILQUE CHICO,ACTIVADO,-69.55438667,-15.11994833
GOBIERNO REGIONAL,CHUGURPAMPA,130501,PUESTOS DE SALUD O POSTAS DE SALUD,LA LIBERTAD,JULCAN,JULCAN,ACTIVADO,-78.45901251,-8.03424427
GOBIERNO REGIONAL,CURAHUASI,30104,CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,APURIMAC,ABANCAY,CURAHUASI,ACTIVADO,-72.69805466,-13.53678754
GOBIERNO REGIONAL,NUEVA LIBERTAD,160107,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,MAYNAS,NAPO,ACTIVADO,-73.13872479,-3.10986745
GOBIERNO REGIONAL,BARRANQUILLO - CHAPURI,160705,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,DATEM DEL MARAÑON,PASTAZA,ACTIVADO,-76.95198167,-4.190975
GOBIERNO REGIONAL,SAN AGUSTIN,130602,PUESTOS DE SALUD O POSTAS DE SALUD,LA LIBERTAD,OTUZCO,AGALLPAMPA,ACTIVADO,-78.454515,-7.922835
ESSALUD,CENTRO DE ATENCIÓN PRIMARIA CAP I NUEVA CAJAMARCA,220804,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,ACTIVADO,-77.31353907,-5.92904467
PRIVADO,CONSULTORIO DE TERAPIA DE LENGUAJE,70106,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,CALLAO,CALLAO,VENTANILLA,ACTIVADO,-72.68608,-16.63388
GOBIERNO REGIONAL,CHALLAPUJO SUYO,210501,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,EL COLLAO,ILAVE,ACTIVADO,-69.741858,-16.026985
ESSALUD,HOSPITAL I YURIMAGUAS,160201,HOSPITALES O CLINICAS DE ATENCION GENERAL,LORETO,ALTO AMAZONAS,YURIMAGUAS,ACTIVADO,-76.11616333,-5.89606
GOBIERNO REGIONAL,TIMON,60411,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,LLAMA,ACTIVADO,-79.15347,-6.4678
GOBIERNO REGIONAL,SAN JUAN DE LICUPIS,60416,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,ACTIVADO,-79.24186213,-6.4243717
PRIVADO,POLICLINICO,70106,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,CALLAO,CALLAO,VENTANILLA,ACTIVADO,-74.64554,-12.7126
GOBIERNO REGIONAL,CHUMUCH,60302,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CELENDIN,CHUMUCH,ACTIVADO,-78.19837123,-6.60346578
GOBIERNO REGIONAL,ROJASPAMPA,60401,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,CHOTA,ACTIVADO,-78.61562,-6.5488
GOBIERNO REGIONAL,LABORATORIO DE SALUD PUBLICA DE LA DIRECCION SUB REGIONAL  DE SALUD JAEN,60801,PATOLOGIA CLINICA,CAJAMARCA,JAEN,JAEN,ACTIVADO,-78.80955322,-5.70885098
GOBIERNO REGIONAL,HUICHIHUA,30701,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,GRAU,CHUQUIBAMBILLA,ACTIVADO,-72.79713764,-14.19351044
GOBIERNO REGIONAL,EL CARMEN,60106,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CAJAMARCA,JESUS,ACTIVADO,-78.32248816,-7.3008959
GOBIERNO REGIONAL,GRANJA PORCON,60101,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CAJAMARCA,CAJAMARCA,ACTIVADO,-78.597474,-7.072202
GOBIERNO REGIONAL,P.S CANIZAL CHICO,200110,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,PIURA,LA UNION,ACTIVADO,-80.70065147,-5.38871138
GOBIERNO REGIONAL,NIÑO JESUS,60401,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,CHOTA,ACTIVADO,-78.59521099,-6.6290033
GOBIERNO REGIONAL,NUEVA HUANCABAMBA,220101,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,ACTIVADO,-77.118035,-5.80509667
GOBIERNO REGIONAL,YARARAHUE,60906,CENTROS DE SALUD O CENTROS MEDICOS,CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,ACTIVADO,-78.92205,-5.03595
GOBIERNO REGIONAL,SANTOS,60607,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CUTERVO,QUEROCOTILLO,ACTIVADO,-79.13038922,-6.12559621
GOBIERNO REGIONAL,SUBTANJALLA,110112,CENTROS DE SALUD O CENTROS MEDICOS,ICA,ICA,SUBTANJALLA,ACTIVADO,-75.75443667,-14.01994833
GOBIERNO REGIONAL,SAN MARTIN DE PALLCCA,50606,PUESTOS DE SALUD O POSTAS DE SALUD,AYACUCHO,LUCANAS,CHIPAO,ACTIVADO,-73.65917999,-14.44744623
GOBIERNO REGIONAL,ANCATIRA,30213,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,ACTIVADO,-73.28752,-13.67099
GOBIERNO REGIONAL,MANGUA DEL MAZAN,160106,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,MAYNAS,MAZAN,ACTIVADO,-72.77567216,-3.31988154
MINSA,PUESTO DE SALUD VILLA LIMATAMBO,150143,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,ACTIVADO,-76.9421011,-12.1345619
GOBIERNO REGIONAL,PUESTO DE SALUD HUALCAN,20601,PUESTOS DE SALUD O POSTAS DE SALUD,ANCASH,CARHUAZ,CARHUAZ,ACTIVADO,-77.61465333,-9.25783667
SANIDAD DE LA MARINA DE GUERRA DEL PERU,JEABF-401 SANTA ROSA,160401,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,ACTIVADO,-69.95579333,-4.22664667
GOBIERNO REGIONAL,PUEBLO NUEVO DE CONTA,150510,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,CAÑETE,NUEVO IMPERIAL,ACTIVADO,-76.3380859,-13.01647174
GOBIERNO REGIONAL,GRAMAZU,190302,PUESTOS DE SALUD O POSTAS DE SALUD,PASCO,OXAPAMPA,CHONTABAMBA,ACTIVADO,-75.45200814,-10.51367957
MINSA,CAJA DE AGUA,150132,CENTROS DE SALUD O CENTROS MEDICOS,LIMA,LIMA,SAN JUAN DE LURIGANCHO,ACTIVADO,-77.015351,-12.0268025
GOBIERNO REGIONAL,CONCEPCION LARAMATE,50613,PUESTOS DE SALUD O POSTAS DE SALUD,AYACUCHO,LUCANAS,OTOCA,ACTIVADO,-74.80830667,-14.545915
GOBIERNO REGIONAL,CENTRO DE SALUD BUENAVISTA,20802,CENTROS DE SALUD O CENTROS MEDICOS,ANCASH,CASMA,BUENA VISTA ALTA,ACTIVADO,-78.20686282,-9.43233254
GOBIERNO REGIONAL,SAYHUA,30204,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,ANDAHUAYLAS,HUANCARAMA,ACTIVADO,-73.06207833,-13.681645
GOBIERNO REGIONAL,LAS MALVINAS,150507,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,CAÑETE,IMPERIAL,ACTIVADO,-76.35039224,-13.05523084
GOBIERNO REGIONAL,CHILAHUITO,210707,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,LAMPA,PARATIA,ACTIVADO,-70.67739,-15.49736
GOBIERNO REGIONAL,SARABAMBA,60401,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,CHOTA,ACTIVADO,-78.67257,-6.5059
GOBIERNO REGIONAL,PUERTO HUALLANA,80914,PUESTOS DE SALUD O POSTAS DE SALUD,CUSCO,LA CONVENCION,MEGANTONI,ACTIVADO,-73.13408163,-11.78059573
GOBIERNO REGIONAL,LA FLORIDA,160801,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,PUTUMAYO,PUTUMAYO,ACTIVADO,-73.90821,-1.13979
GOBIERNO REGIONAL,MARJUNI,30106,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,ABANCAY,LAMBRAMA,ACTIVADO,-72.734945,-13.84062833
GOBIERNO REGIONAL,OLLEROS,10116,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CHACHAPOYAS,OLLEROS,ACTIVADO,-77.646825,-6.05255833
GOBIERNO REGIONAL,MACEDA,220507,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,LAMAS,RUMISAPA,ACTIVADO,-76.50232325,-6.47941605
GOBIERNO REGIONAL,ANTONIO BARRIONUEVO (LAMPA),210701,HOSPITALES O CLINICAS DE ATENCION GENERAL,PUNO,LAMPA,LAMPA,ACTIVADO,-70.36606761,-15.36209971
GOBIERNO REGIONAL,PICCHU,210808,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,MELGAR,SANTA ROSA,ACTIVADO,-70.91558631,-14.51716796
GOBIERNO REGIONAL,SALVACION,170201,CENTROS DE SALUD O CENTROS MEDICOS,MADRE DE DIOS,MANU,MANU,ACTIVADO,-70.48938,-16.13492
GOBIERNO REGIONAL,OCUCAJE,110104,CENTROS DE SALUD O CENTROS MEDICOS,ICA,ICA,OCUCAJE,ACTIVADO,-75.67034618,-14.34864456
GOBIERNO REGIONAL,LAS MERCEDES,100604,PUESTOS DE SALUD O POSTAS DE SALUD,HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,ACTIVADO,-76.12713,-8.87048
GOBIERNO REGIONAL,REGIONAL CAJAMARCA,60101,HOSPITALES O CLINICAS DE ATENCION GENERAL,CAJAMARCA,CAJAMARCA,CAJAMARCA,ACTIVADO,-78.487692,-7.183407
GOBIERNO REGIONAL,APAN BAJO,60701,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,HUALGAYOC,BAMBAMARCA,ACTIVADO,-78.5648239,-6.72092712
GOBIERNO REGIONAL,TAMBURQUI,30103,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,ABANCAY,CIRCA,ACTIVADO,-72.88623167,-13.97211333
GOBIERNO REGIONAL,SAN RAFAEL,50112,PUESTOS DE SALUD O POSTAS DE SALUD,AYACUCHO,HUAMANGA,SOCOS,ACTIVADO,-74.31081081,-13.18234374
GOBIERNO REGIONAL,C.S EL TUNAL,200305,CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,PIURA,HUANCABAMBA,LALAQUIZ,ACTIVADO,-79.68042816,-5.21492075
GOBIERNO REGIONAL,HUALGAYOC,60703,CENTROS DE SALUD O CENTROS MEDICOS,CAJAMARCA,HUALGAYOC,HUALGAYOC,ACTIVADO,-78.60760347,-6.76655538
GOBIERNO REGIONAL,COSPAN,60104,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CAJAMARCA,COSPAN,ACTIVADO,-78.54295072,-7.42671499
GOBIERNO REGIONAL,LONGUITA,10507,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,LUYA,LONGUITA,ACTIVADO,-77.96865,-6.413325
GOBIERNO REGIONAL,PALLCCARANA,50701,PUESTOS DE SALUD O POSTAS DE SALUD,AYACUCHO,PARINACOCHAS,CORACORA,ACTIVADO,-73.84927875,-14.76800162
GOBIERNO REGIONAL,LA PUNTA,120133,PUESTOS DE SALUD O POSTAS DE SALUD,JUNIN,HUANCAYO,SAPALLANGA,ACTIVADO,-75.17841721,-12.1198314
GOBIERNO REGIONAL,PAMPA DE VILLACURI,110108,PUESTOS DE SALUD O POSTAS DE SALUD,ICA,ICA,SALAS,ACTIVADO,-75.95283072,-13.91049541
GOBIERNO REGIONAL,PALLCA,50303,PUESTOS DE SALUD O POSTAS DE SALUD,AYACUCHO,HUANCA SANCOS,SACSAMARCA,ACTIVADO,-74.24660842,-13.88743155
